title	artist	nov	adv	exh	mxm	genre	unlockRaw	indexjk	jknov	jkadv	jkexh	jkmxm
Tic Exe	Se-U-Ra	5	11	14	17	floor,toho		z8TtYUlOcZStJHcYrruF9Q	z8TtYUlOcZStJHcYrruF9Q	7xk8e4rlfzbXXjq6USildQ	SZ7YRUo_bewpP4yZfeEKtg	kr-7gx1CqrGQVV6nvbdaxA
Night Rockin' Bird	kanone	5	12	14	18	floor,toho		ScmcVO7Sp2w5TgAq70aO7A	ScmcVO7Sp2w5TgAq70aO7A	_kMPYqn0D9VueLHSecnaKw	m06HkpnQYk-ws4I5-wK_Mw	qXME0HR_UUICD5ORzZMe9w
Nostalgic Blood of the Strife	Laur	6	13	16	18	floor,toho		wiVvWP5UNboGs9AFn70z2Q	wiVvWP5UNboGs9AFn70z2Q	LzvWrnWDXzOp3Pi5JQ4BRA	--k3dTLNfhrtnLkRhD56Jg	MR8PT-TZ1JYWYg_M8M0zFg
Princess K	Retropolitaliens(Ms.+駄々子)	4	10	13	16	floor,toho		HET8m5fvjxrSopBaEAZ9Kg	HET8m5fvjxrSopBaEAZ9Kg	pRe5fjbrCXwLS5GF6SaKuA	HLg4zcV0uRfgCjF5HQDaCA	k_yNUQye6ej-XFIRZJ2NKw
PROVOES*PROPOSE <<êl fine>>	"Yu_Asahina as ""papyrus"""	6	13	16	18	sdvx		8HKKJHLXGc8brsU9qvkdCg	8HKKJHLXGc8brsU9qvkdCg	JP2v2OLB_Idv1hI6lIesPQ	vg8JJ2mySVrEpCQHY7aJpg	mtKuUnYkCrsUI1B5sCcxGQ
マイネ・クライネ・ナハトムジーク	Die Ellipse (deli. with 倉田美和)	4	10	13	16	floor,toho		z1P1xnV9aT7eTULpXlW47w	z1P1xnV9aT7eTULpXlW47w	r5jO7nkY2XOVV8mmJ13_sA	H2VB2Yjd-7_OL4ArRu5qtg	jja0tfeUte8X5BCQOuQlig
Akzeriyyuth	Team&Dj Grimoire	6	13	15	18	floor		XIyv3sG4rbDRADF99YowHA	XIyv3sG4rbDRADF99YowHA	69SsF5_UevkqvwT95rtGnQ	CVg3Ea7f2AbrMa7_4t7DcQ	wSf0agU1v9AmdXVyjC264A
異世界ノットパンピー(EXIT TUNES)	164 feat.GUMI	4	10	13	16	vocaloid		G4Usi1l4ZVunQn_QHrpHAQ	G4Usi1l4ZVunQn_QHrpHAQ	1ZJls2cuGOMIAa5THi2Cng	0egn4WlNqetK9MjnBkl-HA	Ef7l4qY2ViK2tRxk6cNRGQ
嘘とぬいぐるみ(EXIT TUNES)	Dixie Flatline	3	8	13	16	vocaloid		F1iR2--NRtUXlLGMiQrIAQ	F1iR2--NRtUXlLGMiQrIAQ	cIdMsMg6IRQPkXTKcQFvuw	VZvs-skk4vPXvRxPnzsocw	MTCau6a9Qjmodhc9KSOdJg
Coldlapse	Aoi vs. r0y	5	12	15	17	floor		V1gSQY4sy35fBtZd_Vvgcw	V1gSQY4sy35fBtZd_Vvgcw	vztpUEwP7pauBVOwIrLhbA	hXNm_ActJh01KVLmkSbZLg	HNBsKb4oIbRmXvrqKkOF3Q
No way	影虎。	5	11	14	17	floor		5MvvJtT1gG7cpnWE8-xezw	5MvvJtT1gG7cpnWE8-xezw	vBeK6FYeMORt8u-bVOvSxw	qKr2SJwwsD67mkbpmHtEFg	zyobwa6L5CFf7W5YXu-Wrg
Beyond the BLUE	Ayato × sak × 田島千種	6	13	16	18	floor		LSwbD-q19OeQnLmXiobA7Q	LSwbD-q19OeQnLmXiobA7Q	BlU9sOMjgriMTPjpcdID8w	_M9azxzr6Fl-D-TSFCYMCg	AKLbmiZy_iC_zwkAfAIQyw
4NT1 D34D	N-Driver	4	9	13	16	floor,toho		kNYfRBsOElgQG9FtEtm12g	kNYfRBsOElgQG9FtEtm12g	dbc_v1mXL3D2AgLU1iQU3g	vnpqLrGGMSyFuIA2gyIDqA	42z-SvpVky_zA68O2ibifA
Breakin' Asia	かたぎり	6	13	16	18	floor,toho		7zAkyL6-lUcQRJoVZarxFg	7zAkyL6-lUcQRJoVZarxFg	f8PHs9NY9uSFsqOx-LbwbA	_TQK62uj8Z_T6cZAp35RQQ	sfYO-AkZPEIfyE3i-4_XjA
蓬莱フェスティボー	溝口ゆうま feat. みこ♡なち♡あい	5	11	15	17	floor,toho		teISdi4p6kY9QoWlBqrqEg	teISdi4p6kY9QoWlBqrqEg	aNmYuTEUlGdZavjWzpit6g	lNOSMNEq0_Deige-EHuhNA	zDP9fxw6dFYhc-szf95c1g
Lunatic Sprinter	さわわ	6	12	15	18	floor,toho		XENslnhLz0nCCryPrsEueQ	XENslnhLz0nCCryPrsEueQ	o14EEdA6tURPPlRQdN0IhA	q8DCr05iXl1eu3QxlZF0lg	4CyREZq9XElDqiAGqtgNrA
SUPER SUMMER SALE	"BEMANI Sound Team ""U1 overground"""	5	11	15	18	bemani		pRpyr1vjoUePQHbVhLe3Bg	pRpyr1vjoUePQHbVhLe3Bg	dgKSW4CWvq9B17wdm4eX8A	11XGMVjbizEB9EZOloflEg	yVLRI1EsQilZXOqx_b-qJg
星座が恋した瞬間を。	"BEMANI Sound Team ""DJ TOTTO feat.MarL"""	5	11	14	17	bemani		d9YE2HKf5gVNNOOiJ_uPmQ	d9YE2HKf5gVNNOOiJ_uPmQ	asTtIGLLyLbPda7NOqNhFQ	ghZfZD7nqRUYKVzuYSf-RA	YiIsMs7c1Ds8_k8C7a4Meg
Puberty Dysthymia	"BEMANI Sound Team ""person09"""	6	12	15	18	bemani		53xJVdfELwI8AmpWoidMjg	53xJVdfELwI8AmpWoidMjg	WGbwEE285btVkCBrCySIUA	mr9dbei1NbrHXWkEf4C-aw	JyuWLbXgkajXmgYOaL979w
風鈴花火	"BEMANI Sound Team ""劇団レコード""feat.結良まり"	4	10	13	16	bemani		lYXMGz0GnH5ijHjDFcADgQ	lYXMGz0GnH5ijHjDFcADgQ	DoT-IYqfTHsCZZff-9UEkg	vm1sVUUryw0ZJi2cbkL18w	HFaoq63nOfWkVe6HQYjbmQ
Prey	"BEMANI Sound Team ""Dustup"""	6	13	16	18	bemani		fQMR3dNJFWPLdjCDes3SDQ	fQMR3dNJFWPLdjCDes3SDQ	FBM5HvR7bV3nmBG7Q4-7ZA	oFqmUFKW5_Xj78MMPiCSqg	QeT2YBbtfpt7aCqfXrBLWA
Life is beautiful	"BEMANI Sound Team ""猫叉Master"""	6	11	14	17	bemani		ulcHqnFt1g436kO9Vxb_JQ	ulcHqnFt1g436kO9Vxb_JQ	A_ZF8O26j5OIJcWgMc-BXw	goMJtGB1A7WWCQHMrW7YXA	W-Jhd5XahS6Ih-K3lPtnOg
Rejoin	"BEMANI Sound Team ""HuΣeR feat.PON"""	5	11	14	17	bemani		cO611xJArNG8urSX5tmecg	cO611xJArNG8urSX5tmecg	I_EvxpAcXx25svwVKYK3rQ	uZjmjreoRNPvoNad2DvUAQ	H_nZ71wrGLbzvvPfIJxKwg
Sleepless days	猫叉Master feat.Mayumi Morinaga	4	10	14	17	others		wtyrzpxEDfLjqybvVhQN-g	wtyrzpxEDfLjqybvVhQN-g	pLgN-uMXFEEkAOs-83dyLA	IwuqTB44nytwxlmmtpvFmg	GN-U-euJmMPITwjs3HhyRg
MAXIVCORD	"BEMANI Sound Team ""dj TAKA"""	5	11	14	17	others		ME3r6KpOX2Yk1SawWJoKNw	ME3r6KpOX2Yk1SawWJoKNw	B995Apq-58s3hFBwiuRyPA	hvNyViiJEBx-dwRGm8QQAQ	1f3QLvCgxd3TpDa96Y1s3g
Let's Bounce !!	"BEMANI Sound Team ""Sota F."""	3	9	13	16	others		dnACzQNByVnwasPJpjZ1aw	dnACzQNByVnwasPJpjZ1aw	eLtIcYmXGXzwe9Tp1ckwSA	tmzfrRYlD_Sv5xIWw1I0vA	JIgq8ozeW3vh5S55g0Z1cg
灼熱のBlazin' Beat	CielArc	4	10	13	16	floor,toho		cTpbiJy2CSyQztY14Mw_4w	cTpbiJy2CSyQztY14Mw_4w	MumdaQUEni3eQ-JJpK6hRQ	K6SgWTQ9o_bEBV4wcvgkmA	oKQeeWT8uBy7Jg5vKQL9MQ
Burning Spark!	uma & nmk feat. 橘花音	5	11	13	16	floor,toho		JMJtGJSI7R4PnPkFLJHkPA	JMJtGJSI7R4PnPkFLJHkPA	v1M8tXJYBq0iEaBwLUrDPg	VqE5DE3tkDVidxKjc9MjeA	tC0iAZCCiBCvhdm0OWKmRg
Black night	Noah	6	13	15	18	floor,toho		6Tu6v2BLyGAo6LFAWHm1KQ	6Tu6v2BLyGAo6LFAWHm1KQ	MSxSReNL5CD2k58xgH3jVg	J7vXjPw50z4V2vZrFABZIw	eToLRepXdlW2fj95u5Fd3Q
まじかる生主＠りすなちゃん	DJ SHARPNEL feat. みらい	6	12	15	18	sdvx		qhKOHrJ8bMFmRM27ufth4Q	qhKOHrJ8bMFmRM27ufth4Q	yy76oLPH-ZybrJgg8t10Mw	lCENmF17aKP4Zu9Zb5_X_Q	35_7f_eECiKua6nyWQ_dKw
